збор,значење,примери,граматички определби,преводи на други јазици,извор
глупак,,,,,
глупак,(диј. ),,,,
глупо,,,,,
глупост,,,,,
глупчо,,,,,
глутница,,,,,
глушец,,,,,
глушец,,,,,
глушец,,,,,
глушин,,,,,
глушина,faboideae,,,,
глушина,,,,,
гмечен,,,,,
гмечи,,,,,
гнаса,,,,,
гнасен,,,,,
гнаси,,,,,
гнасно,,,,,
гневен,,,,,
гневно,,,,,
гневност,,,,,
гнезда,,,,,
гнездо,,,,,
гнездо,,,,,
гнездо,,,,,
гнетав,,,,,
гнете,,,,,
гнете,,,,,
гнете,,,,,
гнетен,,,,,
гнети,,,,,
гнида,,,,,
гниди,,,,,
гние,,,,,
гние,,,,,
гнилост,,,,,
гноен,,,,,
гноен,,,,,
гноиво,,,,,
гнома,,,,,
гномски,,,,,
гносеологија,,,,,
гносеолошки,,,,,
гњавен,,,,,
гњави,,,,,
го обра бостанот,"1. =/=
2. готов да биде",,,,
ѓоа,,,,,
ѓоа,како (диј. ),,,,
ѓоа / џоа,како,,,,
гоблен,tapestry,,,,
говедарник,,,,,
говедарство,,,,,
говедо,,,,,
говедо,,,,,
говедо,,,,,
говедо,,,,,
Говедска Чума,,,,,
говор,,,,,
говорништво,,,,,
год,,,,,
годе,,,,,
годи,,,,,
годишка /-е,скокотка (диј. струмички),,,,
годишнина,,,,,
гое,,,,,
гоен,,,,,
гоење,,,,,
гозба,,,,,
гозба,,,,,
ѓозли,(диј. ),,,,
гои,,,,,
гои,,,,,
Ѓоко,,,,,
гол,,,,,
ѓол,вир (диј. штипски),,,,
ѓол,вир (диј. македонскокаменички),,,,
Гол Човек,растение,,,,
голем,,,,,
големопоседници,,,,,
големоразмерен,,,,,
голица,,,,,
Голица,растение,,,,
голич,,,,,
голман,,,,,
голо,,,,,
голобрад,,,,,
голосемен,,,,,
голосемен,,,,,
голосеменик,,,,,
голосеменик,,,,,
голта,,,,,
голтан,,,,,
голтар,,,,,
голтка,,,,,
голтка,,,,,
голтки,,,,,
голтнат,,,,,
голтне,,,,,
голтник,,,,,
голфер,,,,,
"Ѓољ – локва, бара",,,,,
гомбелка,компир (диј.),,,,
гомна,,,,,
гомнар,,,,,
гомнар,,,,,
гомнет,,,,,
гомни,,,,,
гомно,,,,,
гомце,,,,,
ѓон,,,,,
гонет,,,,,
гони,,,,,
Гонореја,,,,,
гора,,,,,
гора,,,,,
Горазд,,,,,
Горан,,,,,
Ѓорѓи,,,,,
гордо,,,,,
гордост,,,,,
горе,,,,,
горе,,,,,
Ѓоре,,,,,
горен,,,,,
горешник,јули (диј. с. Пирава),,,,
горешници,,,,,
гори,,,,,
Горки,,,,,
горко,,,,,
горко,,,,,
горнопреспански,,,,,
Горњак,,,,,
горок,,,,,
горски,,,,,
горски,,,,,
Горски Јавор,растение,,,,
Гортинија,,,,,
горун,,,,,
горун,,,,,
горун,,,,,
Ѓорче,,,,,
горчи,,,,,
горчлив,,,,,
горчлив,,,,,
горчлив,,,,,
горчлив,,,,,
горчливост,,,,,
господ,,,,,
Господ,,,,,
гостен,,,,,
гости,,,,,
гостиварски,,,,,
гостиварски,,,,,
гостин,,,,,
гостопримливост,,,,,
готвар,,,,,
готвач,,,,,
готвач,,,,,
готвачка,,,,,
готвен,,,,,
готвен,,,,,
готвење,,,,,
готви,,,,,
готов,,,,,
готов,,,,,
готовина,,,,,
готовност,,,,,
готски,,,,,
Гоца,,,,,
Гоце,,,,,
граба,,,,,
грабан,,,,,
грабеж,,,,,
граблив,,,,,
грабливка,,,,,
грабнат,,,,,
грабне,,,,,
грав,,,,,
Грав,растение,,,,
грав,,,,,
гравче,,,,,
грагор,,,,,
град,,,,,
града,,,,,
градба,,,,,
градба,,,,,
градбен,,,,,
градби,,,,,
градежништво,,,,,
граден,,,,,
градец,,,,,
гради,,,,,
градиво,,,,,
градиво,,,,,
градилиште,,,,,
градина,,,,,
градина,,,,,
градинар,,,,,
Градинарска Чубрика,растение,,,,
градинарски,,,,,
градинарство,,,,,
градинка,,,,,
градинка,,,,,
градински,,,,,
градиште,,,,,
градник,,,,,
градник,,,,,
градник,,,,,
градно,,,,,
градоначалник,,,,,
градски,,,,,
градски,,,,,
градско,,,,,
граер,,,,,
грака,,,,,
гракне,,,,,
грамада,,,,,
грана,,,,,
гранадила,,,,,
гранап,маалски дуќан,,,,
гранка,,,,,
гранка,,,,,
гранка,,,,,
гранки,,,,,
гранче,,,,,
гранче,,,,,
граор,,,,,
граор,,,,,
Граор,растение,,,,
граор,,,,,
Граорка,растение,,,,
гратис,,,,,
гратски,,,,,
гратче,,,,,
график,,,,,
графит,,,,,
грашак,,,,,
грашок,,,,,
грашок,,,,,
грашок,,,,,
грашок,,,,,
грашок,,,,,
Грашок,растение,,,,
грба,,,,,
грбав,,,,,
грбен,,,,,
ГРБНАЧА,,,,,
грбно,,,,,
грбче,,,,,
гргутка,баба (диј. ),,,,
грда,,,,,
грди,,,,,
грдо,,,,,
греач,,,,,
гребе,,,,,
гребен,,,,,
Гребен,,,,,
гребен,,,,,
гребен,"1. 
2.
3. чешел (диј. пехчевски)",,,,
Гребенест Пиреј,растение,,,,
гребидушка,,,,,
гребла,,,,,
гребло,"1. гребло
2. весла (егејски)",,,,
гребло,,,,,
гребло,,,,,
гребнат,,,,,
гребне,,,,,
грев,,,,,
грев,,,,,
гревче,,,,,
греѓ,,,,,
греда,,,,,
греда,,,,,
греда,,,,,
греди,,,,,
грее,,,,,
греен,,,,,
грејач,,,,,
грејпфрут,,,,,
Гренланд,,,,,
грепка,,,,,
грешен,,,,,
греши,,,,,
грешка,,,,,
грешка,,,,,
грешки,,,,,
грешник,,,,,
грешник,,,,,
грешно,,,,,
грива,,,,,
гривест,,,,,
гривинаш,,,,,
гривна,,,,,
грижа,,,,,
грижа,,,,,
грижи,,,,,
грижлив,,,,,
гриз,,,,,
гризе,,,,,
гризен,,,,,
гризли,,,,,
гризнат,,,,,
гризне,,,,,
грип,"1.
2.
3.
4.
5. Бутково (Егејска) е мрежа за лов",,,,
грифон,,,,,
грицка,,,,,
грицкан,,,,,
грицки,,,,,
грицки,,,,,
грицнат,,,,,
грицне,,,,,
грклан,,,,,
гркоман,,,,,
гркофилиште,,,,,
грла,,,,,
грлен,,,,,
грлест,"1.
2. зборлив(диј. )",,,,
грлица,,,,,
грлица,,,,,
грлица,"1.
2. птица",,,,
грло,,,,,
грло,,,,,
грло,,,,,
грлце,,,,,
грм,грмушка (диј. тетовски),,,,
грмеж,,,,,
грми,,,,,
грмидол,,,,,
грмотрн,,,,,
Грмотрн,растение,,,,
грмушарче,,,,,
грмушест,,,,,
грмушка,,,,,
грмушка,,,,,
грне,,,,,
грне,,,,,
грне,,,,,
грне,,,,,
грнец,,,,,
грничар,,,,,
грнишла,"корнез, држачи за завеса (диј. галички)",,,,
грнци,,,,,
грнчар,,,,,
грнчар,,,,,
грнче,,,,,
гробар,,,,,
гробен,,,,,
гробница,,,,,
гровта,,,,,
гровче,,,,,
гроза,,,,,
грозд,,,,,
грозд,,,,,
гроздест,,,,,
Гроздест Руј,растение,,,,
гроздобер,,,,,
гроздобер,септември,,,,
гроздов,,,,,
гроздов,,,,,
гроздовица,,,,,
гроздовица,ракија,,,,
грозен,,,,,
грозја,,,,,
грозје,,,,,
грозје,,,,,
грозје,,,,,
грозје,,,,,
грозно,,,,,
громобран,,,,,
громче,,,,,
гропче,,,,,
гросист,,,,,
грото,,,,,
грофче,,,,,
грпка,,,,,
грпка,,,,,
грпче,,,,,
грсје,,,,,
грсти,,,,,
грубо,,,,,
грубост,,,,,
Груев,,,,,
Грујов,,,,,
груменче,мало парче (диј. кумановски),,,,
група,,,,,
групен,,,,,
групи,,,,,
групно,,,,,
грутка,,,,,
грутка,,,,,
грутка,,,,,
грутки,,,,,
грутче,,,,,
грутчест,,,,,
грутчест,,,,,
грутчест,,,,,
грч,,,,,
грч,,,,,
грчи,,,,,
Грчка Ела,растение,,,,
грчки,,,,,
грчки,,,,,
губен,,,,,
губи,,,,,
губи,јуфки (диј. ),,,,
ѓубралник,,,,,
ѓубрарник,,,,,
ѓубраџија,,,,,
ѓубре,,,,,
ѓубре,,,,,
ѓубрен,,,,,
ѓубрење,,,,,
ѓубри,,,,,
ѓубриво,,,,,
ѓубриво,,,,,
ѓувендија,проститутка (диј. велешки),,,,
ѓувендија,(диј. ),,,,
гувче,,,,,
гуга,,,,,
гугла,,,,,
гугне,,,,,
гугут,,,,,
гугутка,,,,,
гугутка,,,,,
гуде,,,,,
гудишка,скокотка (диј. кавадаречки),,,,
Гудишка – скокотлив/а/о,,,,,
гужба,,,,,
гужва,,,,,
гужван,,,,,
гужви,,,,,
Гузманија,растение,,,,
гука,,,,,
гукне,,,,,
гукне,,,,,
гулаб,,,,,
гулаб,,,,,
гулаб,,,,,
гулаб,,,,,
гулабар,,,,,
гулабар,,,,,
Гулабов Грашок,растение,,,,
гулапка,,,,,
гулаш,,,,,
ѓуле,,,,,
ѓуле,,,,,
гулем,голем (диј. македонскокаменички),,,,
гулемијут,декември (диј. гевгелиски),,,,
ѓум,,,,,
гума,,,,,
гума,,,,,
ѓумбир,,,,,
ѓумбир,,,,,
ѓумбир,,,,,
гумен,,,,,
гуми,,,,,
ѓумиште,,,,,
гумнар,август (диј. с. Пирава),,,,
гумно,,,,,
гумно,,,,,
гумно,,,,,
ѓумче,,,,,
ѓумче,,,,,
гуна,,,,,
Гуна,гуња,,,,
гунбазијалец,,,,,
гунгула,,,,,
гунгула,,,,,
гунгула,,,,,
гуничка,брканица (диј. струмички),,,,
Гуничка – брканица,,,,,
гунче,,,,,
гуња,,,,,
ѓупски,,,,,
Ѓуптин,,,,,
ѓуптин,Ром,,,,
гурабија,,,,,
гурбет,,,,,
Ѓурѓа,,,,,
Ѓурѓовден,,,,,
Ѓурѓовден,,,,,
Гурди – гурделки,,,,,
Ѓурлутии – галама,,,,,
гурман,,,,,
гуру,,,,,
ѓурултија,,,,,
ѓурултија,остра караница,,,,
ѓурунтија,галама (диј. кумановски),,,,
Ѓурчин,,,,,
гусак,,,,,
гусан,,,,,
гусар,,,,,
гуска,,,,,
гуска,,,,,
гуска,,,,,
гуска,,,,,
гуска,,,,,
гуски,,,,,
гускин,,,,,
гусковиден,,,,,
гусла,,,,,
густ,,,,,
густин,,,,,
густо,,,,,
гуша,,,,,
гуша,,,,,
гушав,,,,,
гушанче,,,,,
гушен,,,,,
гуши,,,,,
гушка,,,,,
гушкан,,,,,
гушки,,,,,
гушнат,,,,,
гушне,,,,,
гушник,"1.
2. диј. паланка градник",,,,
гуштер,,,,,
гуштер,,,,,
ГШ,,,,,
Д,,,,,
д'го,долго,,,,
Д’лгн – папсан,,,,,
Д’нг’лак – висок и глупав човек,,,,,
д’тка,,,,,
да,,,,,
"Даабетер – ептен лошо, заникаде",,,,,
даб,,,,,
даб,,,,,
даб,,,,,
даб,,,,,
Даб,растение,,,,
даб,,,,,
Даб Благун,растение,,,,
Даб Горун,растение,,,,
дабар,,,,,
дабиља,,,,,
дабје,,,,,
Даблин,,,,,
дабов,,,,,
дабри,,,,,
дава,,,,,
даван,,,,,
давач,,,,,
давен,,,,,
дави,,,,,
Давид,,,,,
Давор,,,,,
дада,,,,,
дада,,,,,
даде,,,,,
даде,,,,,
даде,,,,,
даден,,,,,
дади,,,,,
дадилка,,,,,
дајре,,,,,
дајте,,,,,
Дака,,,,,
Дакар,,,,,
дактил,,,,,
далга,,,,,
"Далдис’н – занесен,отсутен",,,,,
далек,,,,,
дали,,,,,
Далија,растение,,,,
далматинец,,,,,
дама,,,,,
дама,,,,,
дамар,,,,,
Дамаск,,,,,
дамаск,,,,,
дамаст,,,,,
дамбара,,,,,
дами,,,,,
Дамјан,,,,,
дамка,,,,,
дамки,,,,,
дамла,,,,,
дамнешен,,,,,
дамски,,,,,
дамчест,,,,,
Данец,,,,,
Данка,,,,,
данок,,,,,
данок,,,,,
данокчија,,,,,
Данска,,,,,
дански,,,,,
Даншен,растение,,,,
дапче,,,,,
дар,,,,,
дар,,,,,
дарба,,,,,
дарби,,,,,
Дарко,,,,,
дармар,,,,,
дарови,,,,,
даровит,,,,,
дарој,,,,,
дарчин,,,,,
даска,,,,,
даска,,,,,
даска,,,,,
даскал,,,,,
даски,,,,,
дасниа,девојка (македонски Роми го користат) (диј. ),,,,
дата,,,,,
датив,,,,,
датум,,,,,
даул,1. мрежа за лов,,,,
Даунов Синдром,,,,,
Даутица,,,,,
дафина,,,,,
Дафина,растение,,,,
двава,,,,,
дваес,,,,,
дваест,,,,,
двајца,,,,,
двана,,,,,
дванаесет,,,,,
двата,,,,,
двеве,,,,,
двене,,,,,
двеста,,,,,
двесте,,,,,
двете,,,,,
двечки,,,,,
движен,,,,,
движи,,,,,
двобоен,,,,,
двобој,,,,,
двобразден,,,,,
двоброен,,,,,
двоглав,,,,,
двоглед,,,,,
двоглед,,,,,
двогодишен,,,,,
двогрб,,,,,
двогрб,,камила,,,
дводомен,,,,,
двоен,,,,,
двои,,,,,
двоина,,,,,
двоина,,,,,
двојазична,,,,,
двојба,,,,,
двојка,,,,,
двојка,,,,,
двојки,,,,,
двојник,,,,,
двојно,,,,,
двојноперјест,,,,,
двојност,,,,,
двојствен,,,,,
двојче,,,,,
двокатен,,,,,
двоколка,,,,,
двоколка,,,,,
двокорабен,,,,,
двокрилоплоден,,,,,
дволик,,,,,
дволиниски,,,,,
двонасочен,,,,,
двооксид,,,,,
двопек,,,,,
двор,,,,,
дворак,,,,,
дворен,,,,,
дворец,,,,,
дворец,,,,,
дворје,,,,,
дворог,,,,,
дворој,,,,,
дворски,,,,,
Дворски Повит,растение,,,,
дворче,,,,,
двосед,,,,,
двосен,,,,,
двосмислен,,,,,
двособен,,,,,
двостран,,,,,
двостраност...,,,,,
двоцифрен,,,,,
Дебар,,,,,
дебарски,,,,,
дебарски,,,,,
дебел,,,,,
дебелец,,,,,
Дебелец,,,,,
дебелиот,Бугар на стар таен јазик македонски,,,,
дебелоклун,,,,,
дебелокожец,,,,,
деби,,,,,
дебил,,,,,
дебитна,,,,,
дебло,,,,,
дева,,,,,
девер,,,,,
девер,,,,,
девер,,,,,
девет,,,,,
девет,,,,,
девојка,,,,,
Девојкино Срце,растение,,,,
девојче,,,,,
девојченце,,,,,
девојчински,,,,,
девојчиште,,,,,
девоша,,,,,
девствен,,,,,
деген,,,,,
деген,,,,,
дегенерик,,,,,
дедин,,,,,
дедиште,,,,,
дедо,,,,,
дедо,,,,,
дедов,,,,,
деец,,,,,
деец,,,,,
деец,,,,,
дезерт,,,,,
дезодеранс,,,,,
Дејан,,,,,
Дејвид,,,,,
дејка / дејче,девојче (диј. тетовски),,,,
дејност,,,,,
дејства,,,,,
дејство,,,,,
дејче,,,,,
дејче,,,,,
дек,каде,,,,
дека,,,,,
дека,,,,,
дека,"1. сврзник
2. предлог за каде (диј. )",,,,
дека,"1.
2.
3. каде (диј. )",,,,
декан,,,,,
декан,,,,,
деканат,,,,,
декански,,,,,
Декантер,,,,,
деклинација,,,,,
деконстриктивистички,,,,,
деконструктивистички,,,,,
декрет,,,,,
Декубитус,,,,,
делба,,,,,
делбен,,,,,
делен,,,,,
дели,,,,,
делив,,,,,
деликт,,,,,
Делјан,,,,,
делка,,,,,
делкан,,,,,
деллив,,,,,
делник,,,,,
делница,,,,,
дело,,,,,
деловодник,,,,,
делокруг,,,,,
делотворно,,,,,
делта,,,,,
делфин,,,,,
делче,,,,,
Делчев,,,,,
делчевски,,,,,
делчевски,,,,,
демарш,,,,,
дембел,,,,,
демек,,,,,
демек,,,,,
демек,(диј. ),,,,
Деменција,,,,,
деминутив,,,,,
демиркаписки,,,,,
демиркаписки,,,,,
демирхисарски,,,,,
демирхисарски,,,,,
демне,,,,,
демнет,,,,,
демографија,,,,,
демон,,,,,
демонтажа,,,,,
дена,,,,,
деназализација,,,,,
денар,,,,,
денгубат,губи време (диј. ),,,,
дендрит,,,,,
денес,,,,,
денес,,,,,
денес,(диј.),,,,
денеска,,,,,
денеска,(диј.),,,,
дени,,,,,
денов,,,,,
деновирка,,,,,
деној,,,,,
денон,,,,,
денонокие,,,,,
денот,,,,,
денотативен,,,,,
денски,,,,,
дента,,,,,
дену,,,,,
дење,,,,,
деонтологија,,,,,
депо,,,,,
депонија,,,,,
Депресија,,,,,
дерби,,,,,
дервен,,,,,
дервиш,,,,,
дере,,,,,
дерен,,,,,
дерман,,,,,
Дерматофитоза,,,,,
десен,,,,,
десерт,,,,,
десет,,,,,
десет,,,,,
деснак,,,,,
десница,,,,,
десно,,,,,
десно,,,,,
деспот,,,,,
дестилација,,,,,
детаљ,,,,,
дете,,,,,
дете,,,,,
дете,,,,,
детел,,,,,
детелина,(диј.),,,,
детелина,,,,,
детелина,,,,,
детелинка,(диј.),,,,
детенце,,,,,
детерминација,,,,,
детеубиство,,,,,
детиште,,,,,
детиште,,,,,
детиште,,,,,
детокс чај,,,,,
детска,,,,,
Детска Парализа,,,,,
детски,,,,,
детства,,,,,
детство,,,,,
детурле,,,,,
дефект,,,,,
дефтелина,детелина (диј.),,,,
Дехидратација,,,,,
деца,,,,,
деценија,,,,,
децки,,,,,
дечар,,,,,
дечки,,,,,
дечко,,,,,
дешифрирање,,,,,
дибек,,,,,
дибек,,,,,
дибидус,(диј. ),,,,
"Дибидус – ептен, со се",,,,,
див,,,,,
Див Костен,растение,,,,
Див Морков,растение,,,,
Див Праз,растение,,,,
Дива Врба,растение,,,,
Дива Елда,растение,,,,
Дива Јаболка,растение,,,,
Дива Камилица,растение,,,,
Дива Лулка,растение,,,,
диван,,,,,
дивергенција,,,,,
дивеч,,,,,
дивеч,,,,,
дивеч,,,,,
дивеч,,,,,
дивеч,,,,,
дивеч,,,,,
дивина,,,,,
дивина,,,,,
дивјак,,,,,
дивјак,,,,,
диво,,,,,
дивоградба,,,,,
дивтар,,,,,
дивтар,,,,,
дига,,,,,
дигалка,,,,,
диган,,,,,
дигнат,,,,,
дигне,,,,,
диграф,,,,,
дида,луд,,,,
дида,(диј. битолски),,,,
дидактизам,,,,,
дидактика,,,,,
диез,,,,,
диета,,,,,
диета,,,,,
диетален,,,,,
дизајн,,,,,
дизел,,,,,
дизелаш,,,,,
Дијабетес Мелитус,,,,,
Дијабетична Невропатија,,,,,
Дијабетична Нефропатија,,,,,
Дијабетична Ретинопатија,,,,,
дијабола,,,,,
дијагноза,,,,,
дијаголизам,,,,,
дијалектизација,,,,,
дијаспора,,,,,
дијахронија,,,,,
дијахрониски,,,,,
дикотиледони,,,,,
диктат,,,,,
дила,,,,,
дилан,,,,,
дилбер,,,,,
дилентантизам,,,,,
дилер,,,,,
дилер,,,,,
Дили,,,,,
дим,,,,,
дим,,,,,
дим,,,,,
димен,,,,,
димензионира,,,,,
дими,,,,,
димник,,,,,
димница,,,,,
димница,,,,,
Димче,,,,,
дина,,,,,
дина,dune,,,,
динамизиран,,,,,
динар,,,,,
динго,,,,,
динк,,,,,
динки,,,,,
динста,,,,,
динстан,,,,,
диња,,,,,
диња,,,,,
дињи,,,,,
дипла,,,,,
дипла,"1. 
2. черга (диј. )",,,,
дипле,,,,,
диплен,,,,,
дипли,,,,,
дипломски,,,,,
дирек,,,,,
директива,,,,,
дири,,,,,
дирка,,,,,
дирки,,,,,
диска,,,,,
диско,,,,,
диско,"1.
2. послужавник (диј. струмички)",,,,
Диско – послужавник,,,,,
дисков,,,,,
дискретност,,,,,
дискурс,,,,,
дискус,,,,,
дискче,,,,,
Дислипидемија,,,,,
диспут,,,,,
дистих,,,,,
дистрибутер,,,,,
дитирамбски,,поезија,,,
Дифтерија,,,,,
дифтонг,,,,,
дифтоншки,,,,,
дихотомен,,,,,
дихтува,,,,,
дише,,,,,
дишен,,,,,
дишник,,,,,
длабен,,,,,
длабест,,,,,
длаби,,,,,
длабок,,,,,
длабокоумен,,,,,
дланка,,,,,
дланка,,,,,
дланки,,,,,
длапка,,,,,
длета,,,,,
длето,,,,,
дневен,,,,,
дневен,,,,,
Дневен Лилјан,растение,,,,
дневна,,,,,
дневни,,,,,
дневник,,,,,
дневник,,,,,
дневник,,,,,
дневница,,,,,
дневница,,,,,
дневно,,,,,
Днепар,,,,,
Днестар,,,,,
дниве,,,,,
днине,,,,,
Днипро,,,,,
дните,,,,,
дно,,,,,
дно,,,,,
доба,,,,,
добар,,,,,
доберба,,,,,
добивка,,,,,
добиток,,,,,
добиток,,,,,
добиток,,,,,
доблест,,,,,
доблест,,,,,
добош,,,,,
добредојден,,,,,
добрејка,,,,,
Добрејка,растение,,,,
добро,,,,,
добродетелство,,,,,
добронамерен,,,,,
довек,,,,,
доверба,,,,,
довод,,,,,
довод,,,,,
довод,,,,,
дога,,,,,
доган,,,,,
догма,,,,,
догмартизам,,,,,
догми,,,,,
доградба,,,,,
дограмаџија,,,,,
додипломски,,,,,
додуша,,,,,
дое,,,,,
доен,,,,,
доење,,,,,
дожди,,,,,
дождиште,,,,,
дождлив,,,,,
дождовница,,,,,
дождовница,,,,,
Дождовно Дрво,растение,,,,
доживелица,,,,,
доживелица,,,,,
доживувачки,,,,,
доза,,,,,
дознака,,,,,
дои,,,,,
дојде,,,,,
дојден,,,,,
дојденец,,,,,
дојди,,,,,
дојка,,,,,
дојки,,,,,
Дојран,,,,,
дојрански,,,,,
дојрански,,,,,
доказ,,,,,
доквалификација,,,,,
докимологија,,,,,
докинг,,,,,
докрај,,,,,
доктор,,,,,
докторски,,,,,
докторски,,,,,
документ,,,,,
докуп,,,,,
Долама,,,,,
долап,,,,,
долап,шкафче (диј. ),,,,
долап,,,,,
долар,,,,,
долго,,,,,
долго,,,,,
долговечност,,,,,
долговлакнест,,,,,
долгодневица,,,,,
долгодневница,,,,,
долгокрил,,пеперутка,,,
долгокрил,,пеперутка,,,
долгоопашест,,,,,
долгорочно,,,,,
долгорочност,,,,,
долгорочност,,,,,
Долгоцветен Тутун,растение,,,,
доле,,,,,
долен,,,,,
должен,,,,,
должи,,,,,
должник,,,,,
должност,,,,,
долина,,,,,
долма,,,,,
долно,,,,,
долнопреспански,,,,,
Долњак,,,,,
долу,,,,,
долу,,,,,
долче,,,,,
дољум,,,,,
дома,,,,,
домазет,,,,,
домакедончи,,,,,
домаќин,,,,,
домаќин,,,,,
домаќинство,,,,,
домаќинство,,,,,
домал,,прст,,,
домар,,,,,
домар,,,,,
домар,,,,,
домат,,,,,
домат,,,,,
домат,,,,,
домат,,,,,
домен,,,,,
домет,,,,,
домец,,,,,
домофон,,,,,
домче,,,,,
донер,,,,,
Донецк,,,,,
Донка,,,,,
донски,,,,,
Дончо,,,,,
допинг,,,,,
допир,,,,,
допир,,,,,
допир,,,,,
допис,,,,,
доплата,,,,,
допран,,,,,
допре,,,,,
допрен,,,,,
доработка,,,,,
доработка,,,,,
дорвар / дрвар,ноември (диј. мак. говори во Албанија),,,,
дорски,,,,,
доручек,,,,,
досада,,,,,
досег,,,,,
доселба,,,,,
доселеник,,,,,
досетка,,,,,
досетлив,,,,,
досетливост,,,,,
доспеан,,,,,
доста,,,,,
доставувач,,,,,
достоен,,,,,
достоинство,,,,,
дотек,,,,,
дотка,,,,,
"Дотка, дода, доо (Снеже) – постара сестра",,,,,
дотки,,,,,
доток,,,,,
доток,,,,,
дотраеност,,,,,
дотур,,,,,
дотур,,,,,
дотур,,,,,
дофат,,,,,
Доха,,,,,
дохрана,,,,,
доцен,,,,,
доцент,,,,,
доцкан,,,,,
доцна,,,,,
доцнежен,,,,,
доцни,,,,,
доцноантички,,,,,
доцнохристијански,,,,,
дочек,,,,,
Драва,,,,,
Драган,,,,,
Драгољуб,растение,,,,
драгон,,,,,
дразба,,,,,
дразби,,,,,
дразни,,,,,
дракон,,,,,
драма,,,,,
Драма,,,,,
драми,,,,,
драмски,,,,,
драпа,,,,,
драпан,,,,,
драхма,,,,,
драчевски (населба и град во Алб.),,,,,
драчки,,,,,
дрва,,,,,
дрвар,,,,,
дрвен,,,,,
дрвенест,,,,,
дрвенест,,,,,
дрвенест,,,,,
Дрвенест Тутун,растение,,,,
дрви,,,,,
дрви,,,,,
дрвја,,,,,
дрво,,,,,
дрводелец,,,,,
дрворед,,,,,
дрворезба,,,,,
дрворезбар,,,,,
дрвце,,,,,
дрдори,,,,,
дрдорко,,,,,
дреар,,,,,
дребунг,,,,,
древен,,,,,
древно,,,,,
древност,,,,,
дрезгав,,,,,
дреи,алишта (диј. делчевски),,,,
дреј,алишта (диј. беровски),,,,
дреме,,,,,
дреме,,,,,
дремка,,,,,
дремка,,,,,
дремка,,,,,
дремлив,,,,,
дремне,,,,,
дрен,,,,,
дрен,,,,,
дрен,,,,,
Дрен,растение,,,,
дренек,,,,,
дренка,,,,,
дренка,,,,,
дренка,,,,,
дренки,,,,,
дренковица,,,,,
дренковица,,,,,
дренковица,ракија од дренки,,,,
дренов,,,,,
дренче,,,,,
дрење,,,,,
дресер,,,,,
дречав,,,,,
дречлив,,,,,
државиште,,,,,
државотворен,,,,,
државотворец,,,,,
држач,,,,,
држач,,,,,
држен,,,,,
држи,,,,,
дрзне,,,,,
дрзник,,,,,
дрзок,,,,,
дрибла,,,,,
дрибла,,,,,
дриблан,,,,,
дриска,,,,,
дрка,,,,,
дрма,,,,,
дрман,,,,,
дрнда,,,,,
дрндан,,,,,
дрндлест,зборлест,,,,
дрндлест,зборлест (диј. битолски),,,,
дрндуф,,,,,
дрнка,,,,,
дроб,,,,,
дробен,,,,,
дроби,,,,,
дроби,,,,,
дроблив,,,,,
дрога,,,,,
дроги,,,,,
дрожденка,,,,,
дрожденка,ракија од дестилација на вински талог,,,,
дрозд,,,,,
дрозд,,,,,
дроздален,,,,,
дроздалец,,,,,
дроља,,,,,
дропка,,,,,
дропка,,,,,
дропки,,,,,
дропла,,,,,
дропла,,,,,
дропли,,,,,
дропче,,,,,
дрпа,,,,,
дрпав,,,,,
дрпан,,,,,
дрпнат,,,,,
дрпне,,,,,
дрска,,,,,
дрско,,,,,
дрскост,,,,,
друг,,,,,
другар,,,,,
другпат,,,,,
дружба,,,,,
дружби,,,,,
дружен,,,,,
дружи,,,,,
дружно,,,,,
друмје,,,,,
друнгариј,,,,,
друшка,,,,,
друштва,,,,,
друштвен,,,,,
друштвеност,,,,,
друштво,,,,,
друштво,,,,,
дрча,,,,,
дрчен,,,,,
дрчи,,,,,
дрчлив,,,,,
дршка,,,,,
дршка,,,,,
дршки,,,,,
дубак,,,,,
дува,,,,,
дува,,,,,
дувак,,,,,
дувак,,,,,
дуван,,,,,
дувка,,,,,
дувла,,,,,
дувло,,,,,
дувнат,,,,,
дувне,,,,,
Дуглазја,растение,,,,
дугме,,,,,
Дуд’ље – мокар до гола кожа,,,,,
дуда,,,,,
дудак,,,,,
дудаци,усни (диј. струмички),,,,
дудинка,,,,,
дудинка,,,,,
дудинка,,,,,
дудинкова,,,,,
дудинкова,ракија ама и придавка,,,,
дудинкова,ракија,,,,
дудлец,,,,,
дудук,,,,,
дудуче,пченка (диј.),,,,
дуел,,,,,
дует,,,,,
дужен,,,,,
дужи,,,,,
дуќан,,,,,
дукат,,,,,
дуксер,,,,,
дуксер,,,,,
дуксер,,,,,
дулак,,,,,
дуле,,,,,
дума,"1. мисли
2. (диј.) говори",,,,
дума,,,,,
дума,"1.
2.
3. збор (диј. беровски)",,,,
думбара,,,,,
Дуна,,,,,
Дунав,,,,,
дуња,,,,,
дуња,,,,,
Дуња,,,,,
Дуња,растение,,,,
дупен,,,,,
дупешка,,,,,
дупи,,,,,
дупка,,,,,
дупка,,,,,
дупкар,"1.
2. зајак",,,,
дупки,,,,,
дупло,,,,,
дупнат,,,,,
дупне,,,,,
дупнимандало,итар,,,,
дупнимандало,итар (диј. битолски),,,,
дупол,,,,,
дупчалка,,,,,
дупче,,,,,
